case,Ek,k_h,E_m,T_m,P_m,D_m,dE_m_dt,closure_residual
Ek3e-3,0.003000000000000819,7.853981633974483,3.565629069687206e-05,-3.257181068446566e-06,7.852813067070518e-06,-4.528300853141427e-06,-8.967327050562576e-09,7.629847253308588e-08
Ek3e-3,0.003000000000000819,8.246680715673207,3.3699416739031166e-05,-2.2088871346145278e-06,6.87607341595045e-06,-4.6159425161783985e-06,2.1025641335616808e-08,3.0218123821906624e-08
Ek3e-3,0.003000000000000819,8.63937979737193,2.540915991494539e-05,-1.0711529097988027e-06,5.079905929837893e-06,-3.8936127665552075e-06,-5.6054128557119677e-08,1.71194382041001e-07
Ek3e-3,0.003000000000000819,9.032078879070655,2.1623783424987914e-05,-2.706789091709975e-07,4.0227048761579335e-06,-3.547233783767731e-06,-1.923822943114614e-09,2.0671600616231897e-07
Ek3e-3,0.003000000000000819,9.42477796076938,1.9448603130340925e-05,-7.242609444051634e-07,4.3929535577907486e-06,-3.588835296839484e-06,2.338063225071103e-08,5.647668429538978e-08
Ek3e-3,0.003000000000000819,9.817477042468104,1.8150135237310117e-05,-2.0723009762055115e-07,3.815033269797276e-06,-3.580260170186522e-06,-3.922478711562647e-09,3.14654807017651e-08
Ek3e-3,0.003000000000000819,10.210176124166829,1.693466910520631e-05,6.563265846846229e-07,3.292502367839073e-06,-3.5190250572020447e-06,1.3691789773993162e-08,4.161121055476582e-07
Ek3e-3,0.003000000000000819,10.602875205865551,1.4357249980084526e-05,5.11161322783859e-07,2.7583093004548217e-06,-3.0945470958217575e-06,3.050002242682778e-09,1.7187352517424052e-07
Ek3e-3,0.003000000000000819,10.995574287564276,1.2426818170847086e-05,7.450774490136617e-07,2.1293985587585213e-06,-2.8265802388728995e-06,1.4509827300405762e-09,4.6444786169243186e-08
Ek3e-3,0.003000000000000819,11.388273369263,1.2177200863862302e-05,8.689332743310252e-07,2.2537738704442643e-06,-2.967097222420487e-06,-2.1945759757278867e-08,1.7755568211208196e-07
Ek3e-3,0.003000000000000819,11.780972450961723,1.0871735389897564e-05,1.1111721770050314e-06,1.9595899981616806e-06,-2.8308043851555082e-06,1.3044681046985577e-08,2.2691310896421793e-07
Ek3e-3,0.003000000000000819,12.173671532660448,1.073564219814005e-05,1.3099652665704087e-06,1.8202324570485268e-06,-2.958394481812615e-06,2.872920362096836e-09,1.6893032144422303e-07
Ek3e-3,0.003000000000000819,12.566370614359172,9.334514512802247e-06,1.307958990294688e-06,1.4630926977630277e-06,-2.6482089815143707e-06,-1.1555428383165313e-09,1.239982493816615e-07
Ek3e-3,0.003000000000000819,12.959069696057897,8.411424631443053e-06,1.607860845921764e-06,1.2135203621244595e-06,-2.5458673710384396e-06,-8.619138920946206e-09,2.8413297592873026e-07
Ek3e-3,0.003000000000000819,13.351768777756622,8.758943936582163e-06,1.4222279148108726e-06,1.3558163558729527e-06,-2.7066589686021135e-06,1.5346659681723435e-08,5.603864239998783e-08
Ek3e-3,0.003000000000000819,13.744467859455344,7.149188616468941e-06,1.5156531068850693e-06,1.0818848534023008e-06,-2.3644401410763346e-06,-3.910252365111906e-10,2.3348884444754666e-07
Ek3e-3,0.003000000000000819,14.137166941154069,6.966261265670982e-06,1.5166799693852595e-06,9.965958128140882e-07,-2.4384804745946215e-06,4.3251693040908474e-09,7.047013830063533e-08
Ek3e-3,0.003000000000000819,14.529866022852794,5.940758365648568e-06,1.5890221050416776e-06,8.309780938262941e-07,-2.1742778740729398e-06,-5.963835247939776e-09,2.51686160042971e-07
Ek3e-3,0.003000000000000819,14.922565104551516,6.447370709710978e-06,1.6889051343390707e-06,9.036804931953473e-07,-2.4479111176399887e-06,2.353123210460055e-08,1.2114327778982923e-07
Ek3e-3,0.003000000000000819,15.315264186250241,5.408482846183519e-06,1.5240850078161523e-06,7.581094244061814e-07,-2.1995321174439645e-06,8.00928367772149e-09,7.465303110064711e-08
