case,Ek,k_h,E_m,T_m,P_m,D_m,dE_m_dt,closure_residual
Ek1p5e-4,0.00014999999999973672,149.22565104551518,3.098490263263828e-19,2.2425133069851622e-21,4.433307613784525e-18,-6.139639860938612e-18,1.5837683958010324e-23,-1.7041055715310596e-18
Ek1p5e-4,0.00014999999999973672,150.79644737231007,3.0325705383530177e-19,3.560936062253389e-21,4.3876560238429065e-18,-6.1248989775588765e-18,8.242172703114043e-24,-1.7336902598264208e-18
Ek1p5e-4,0.00014999999999973672,152.36724369910496,3.025933908583135e-19,1.4292943813314727e-21,4.405658475511981e-18,-6.224061947166958e-18,-7.581625519480505e-24,-1.8169665956481258e-18
Ek1p5e-4,0.00014999999999973672,153.93804002589985,2.651627248516538e-19,2.5927357778066806e-21,3.8826902283244195e-18,-5.562942346437011e-18,7.286159613254616e-23,-1.6777322439309177e-18
Ek1p5e-4,0.00014999999999973672,155.50883635269477,2.3210768837296203e-19,-5.135482585361533e-22,3.4468964453938016e-18,-4.958451808475613e-18,2.5874066287104152e-23,-1.5120947854066348e-18
Ek1p5e-4,0.00014999999999973672,157.07963267948966,2.0681081383236226e-19,-2.05529464952606e-22,3.0738807700562585e-18,-4.498006948564164e-18,7.260159819539601e-23,-1.4244043095710538e-18
Ek1p5e-4,0.00014999999999973672,158.65042900628455,2.2363950967007705e-19,-8.57769358971069e-21,3.338761087264788e-18,-4.957021583747909e-18,2.9685428184557455e-23,-1.6268678755010165e-18
Ek1p5e-4,0.00014999999999973672,160.22122533307945,1.993429202285e-19,-6.846619025383622e-21,3.0164419818007003e-18,-4.505414735787932e-18,8.141079231614962e-23,-1.4959007838049315e-18
Ek1p5e-4,0.00014999999999973672,161.79202165987434,1.8869206550225906e-19,-6.815653645872824e-21,2.8513387151403167e-18,-4.336100512332177e-18,8.904740232303187e-23,-1.4916664982400562e-18
Ek1p5e-4,0.00014999999999973672,163.36281798666926,1.7733885912966035e-19,-4.083643281927538e-21,2.71692837711433e-18,-4.152608738399842e-18,-1.820843176146865e-23,-1.4397457961356778e-18
Ek1p5e-4,0.00014999999999973672,164.93361431346415,1.6502767287763485e-19,-3.604970982312397e-21,2.5178786564875754e-18,-3.935973362000637e-18,-1.0762138274280197e-23,-1.4216889143570998e-18
Ek1p5e-4,0.00014999999999973672,166.50441064025904,1.7678397525383778e-19,-7.825488293027852e-21,2.7474105355248806e-18,-4.297063498423038e-18,1.2908702660723994e-22,-1.5576075382177924e-18
Ek1p5e-4,0.00014999999999973672,168.07520696705393,1.5254838874982934e-19,-9.028470927672522e-21,2.3806239396548822e-18,-3.781368524809052e-18,1.4117332940482923e-23,-1.4097871734147822e-18
Ek1p5e-4,0.00014999999999973672,169.64600329384882,1.639568684697273e-19,-7.952699009813228e-21,2.5673192082362115e-18,-4.131234382366525e-18,-6.187451406327754e-24,-1.5718616856887203e-18
