Ek,time,F_P_h
0.0002,1251.7,0.0106262799
0.0002,1251.8,0.0106724712
0.0002,1251.9,0.0107185323
0.0002,1252.0,0.0107649
0.0002,1252.1,0.0108111134
0.0002,1252.2,0.0108575179
0.0002,1252.3,0.010903911
0.0002,1252.4,0.0109503266
0.0002,1252.5,0.0109967671
0.0002,1252.6,0.011043213
0.0002,1252.7,0.0110896922
0.0002,1252.8,0.0111361385
0.0002,1252.9,0.0111826544
0.0002,1253.0,0.0112290787
0.0002,1253.1,0.0112755762
0.0002,1253.2,0.011321961
0.0002,1253.3,0.0113683227
0.0002,1253.4,0.0114148481
0.0002,1253.5,0.0114611931
0.0002,1253.6,0.0115074464
0.0002,1253.7,0.0115536946
0.0002,1253.8,0.0115999894
0.0002,1253.9,0.0116462007
0.0002,1254.0,0.0116922683
0.0002,1254.1,0.0117383689
0.0002,1254.2,0.0117844327
0.0002,1254.3,0.0118303815
0.0002,1254.4,0.0118763451
0.0002,1254.5,0.0119221784
0.0002,1254.6,0.0119680074
0.0002,1254.7,0.0120137423
0.0002,1254.8,0.0120593477
0.0002,1254.9,0.0121051156
0.0002,1255.0,0.0121506141
0.0002,1255.1,0.0121961448
0.0002,1255.2,0.0122415795
0.0002,1255.3,0.012287009
0.0002,1255.4,0.012332328
0.0002,1255.5,0.0123775713
0.0002,1255.6,0.0124227755
0.0002,1255.7,0.0124679591
0.0002,1255.8,0.0125130359
0.0002,1255.9,0.0125581183
0.0002,1256.0,0.0126031177
0.0002,1256.1,0.0126480801
0.0002,1256.2,0.0126929883
0.0002,1256.3,0.0127378491
0.0002,1256.4,0.0127827046
0.0002,1256.5,0.0128273936
0.0002,1256.6,0.0128721528
0.0002,1256.7,0.0129169092
0.0002,1256.8,0.0129616117
0.0002,1256.9,0.013006118
0.0002,1257.0,0.0130507603
0.0002,1257.1,0.0130953656
0.0002,1257.2,0.013139872
0.0002,1257.3,0.0131844904
0.0002,1257.4,0.0132288767
0.0002,1257.5,0.0132734254
0.0002,1257.6,0.0133179732
0.0002,1257.7,0.0133623447
0.0002,1257.8,0.0134067462
0.0002,1257.9,0.0134512402
0.0002,1258.0,0.0134956707
0.0002,1258.1,0.0135400738
0.0002,1258.2,0.0135844181
0.0002,1258.3,0.0136288237
0.0002,1258.4,0.0136732959
0.0002,1258.5,0.01371762
0.0002,1258.6,0.013762071
0.0002,1258.7,0.0138065173
0.0002,1258.8,0.0138509582
0.0002,1258.9,0.0138953885
0.0002,1259.0,0.01393982
